Strain (mm/mm) Run #5,Stress (MPa) Run #5,E(Run #5),Strain (mm/mm) Run #6,Stress (MPa) Run #6,E(Run #6 natural),Strain (mm/mm) Run #7,Stress (MPa) Run #7,E(Run #6 natural),Strain (mm/mm) Run #8,Stress (MPa) Run #8,,Strain (mm/mm) Run #9,Stress (MPa) Run #9,
0.045555556,131.1877298,,0.104166667,491.3449026,,0.044444444,362.3313725,,0.049444444,402.1542522,,0.08,417.5058203,
0.046388889,132.3541318,,0.104444444,475.5968239,,0.045555556,370.9477677,,0.050277778,402.5782982,,0.082222222,419.2020045,
0.047222222,134.3697273,,0.105277778,479.2821695,,0.046388889,375.4558728,,0.050833333,401.3854622,,0.084722222,420.2098022,
0.048333333,133.7066735,,0.106944444,490.3106708,,0.0475,375.8006167,,0.051388889,403.7722357,,0.086388889,420.2626703,
0.049166667,133.3883636,,0.108055556,495.7990382,,0.048611111,376.2510968,,0.0525,405.6545595,,0.087777778,419.3881442,
0.050277778,134.7144712,,0.110833333,499.9359653,,0.049166667,380.1743488,,0.053055556,403.3735222,,0.088333333,411.8313133,
0.050555556,134.4490294,,0.113888889,498.1858116,,0.050277778,382.7197264,,0.053611111,405.1236759,,0.09,424.4524655,
0.052222222,136.3313533,,0.115277778,499.0603377,,0.051388889,383.4885164,,0.054166667,405.8131638,,0.091388889,423.7365436,
0.053333333,136.8093688,,0.116388889,496.8068359,,0.0525,385.8752898,,0.055,405.8924659,,0.093055556,425.8843093,
0.054722222,137.6045928,,0.117777778,503.9924888,,0.053333333,388.6585739,,0.056111111,409.4192072,,0.094444444,429.5432208,
0.055833333,138.8238629,,0.118611111,494.1557221,,0.054444444,390.0111155,,0.056666667,406.6612558,,0.095277778,428.084943,
0.056944444,139.698389,,0.120277778,503.2765669,,0.054722222,380.9971082,,0.057777778,411.1957949,,0.095833333,427.2886176,
0.057777778,140.0431329,,0.121944444,506.2724247,,0.055833333,394.4388171,,0.058611111,409.8168192,,0.096666667,432.1943347,
0.058611111,139.9638308,,0.123055556,503.1697294,,0.057222222,395.8442268,,0.059444444,410.1086951,,0.0975,429.648957,
0.059166667,140.1235364,,0.124722222,508.0225783,,0.058611111,397.5943805,,0.060555556,412.415065,,0.097777778,418.7250904,
0.059722222,140.3614428,,0.126111111,507.5181288,,0.059444444,397.1967685,,0.061666667,412.043887,,0.098888889,426.7324014,
0.060555556,142.0322943,,0.1275,505.7679751,,0.06,395.7649247,,0.062777778,412.812677,,0.099166667,418.1953082,
0.061388889,142.7217822,,0.128333333,503.4351712,,0.061944444,404.6996299,,0.063333333,412.9448472,,0.101944444,430.3648789,
0.0625,143.0929601,,0.128888889,503.4616052,,0.063611111,401.3061601,,0.064166667,414.7478689,,0.103888889,432.0610631,
0.063055556,143.1458282,,0.130277778,511.734358,,0.064722222,407.9609294,,0.065555556,415.7292326,,0.106666667,432.3793729,
0.064722222,142.2966347,,0.131666667,511.9193963,,0.065833333,410.029393,,0.066388889,412.5472352,,0.108888889,432.9631246,
0.065277778,143.0125566,,0.133333333,511.336746,,0.066388889,403.638964,,0.066944444,414.5363966,,0.110833333,434.1559606,
0.066111111,143.4101686,,0.135277778,512.105536,,0.066666667,404.3284519,,0.068333333,416.5773247,,0.111666667,428.3228494,
0.066944444,143.9146182,,0.136944444,508.2340507,,0.0675,413.581467,,0.069722222,415.6234965,,0.113055556,436.0647185,
0.068055556,144.551238,,0.139444444,513.1926358,,0.068611111,413.1309869,,0.070555556,416.4715886,,0.114722222,437.4436942,
0.069166667,144.94885,,0.141666667,513.9349917,,0.068611111,404.5938937,,0.071388889,415.1454809,,0.116944444,435.8796803,
0.070555556,145.2671599,,0.143333333,509.7716306,,0.069166667,405.5477219,,0.0725,416.8956346,,0.118611111,438.1067481,
0.071666667,147.4138241,,0.143888889,504.9463171,,0.070555556,413.8469088,,0.073333333,416.2590148,,0.12,438.451492,
0.072777778,148.15618,,0.143888889,496.117348,,0.071388889,414.403125,,0.074166667,416.5773247,,0.121111111,435.4016647,
0.074166667,145.0810202,,0.146111111,519.794537,,0.073055556,420.051198,,0.075277778,415.7556667,,0.121388889,426.2015177,
0.075,146.6450341,,0.147777778,512.4238458,,0.074166667,418.2481763,,0.075555556,413.0781188,,0.122222222,434.1823947,
0.076388889,146.7783058,,0.148333333,507.0676487,,0.075277778,422.410436,,0.076666667,416.8163325,,0.123055556,435.5085023,
0.076944444,147.2023518,,0.148888889,510.3289483,,0.076388889,423.5239699,,0.0775,410.9303531,,0.123888889,438.1331821,
0.077777778,147.4402581,,0.150277778,519.8209711,,0.0775,425.3534257,,0.078611111,411.3808332,,0.125833333,439.3524521,
0.078611111,148.0504439,,0.151111111,509.4808562,,0.078333333,428.880167,,0.079166667,410.2408653,,0.127777778,444.8936876,
0.079444444,149.6948614,,0.153055556,512.2112721,,0.078333333,415.7821007,,0.080277778,407.3507437,,0.131111111,445.5038733,
0.080555556,149.7477295,,0.153055556,500.6254531,,0.079444444,420.3959419,,0.081388889,408.4907116,,0.133888889,444.6822153,
0.081388889,147.1219483,,0.154722222,522.8696969,,0.079444444,422.3046998,,0.0825,404.4341881,,0.136388889,443.6215494,
0.082222222,146.8047398,,0.156388889,516.7711438,,0.080833333,432.9102566,,0.083333333,403.8779718,,0.138888889,443.0113637,
0.083055556,146.9104759,,0.159166667,511.36318,,0.081944444,429.7811272,,0.084722222,399.9536184,,0.139722222,440.3338158,
0.083888889,147.2552199,,0.161111111,507.0412147,,0.083611111,433.4664728,,0.085555556,396.0832346,,0.14,433.7847827,
0.085,147.732134,,0.1625,507.2802224,,0.085,432.034629,,0.086666667,393.590725,,0.141388889,443.3032396,
0.085555556,147.8918396,,0.163611111,510.2760802,,0.086111111,436.0647185,,0.088055556,388.4999696,,0.142777778,443.9662934,
0.085833333,147.4942276,,0.164722222,489.9130588,,0.0875,432.803419,,0.089166667,383.8596944,,0.144166667,443.6744175,
0.086666667,147.7057,,0.164722222,485.1141793,,0.088333333,438.5307941,,0.09,381.4475883,,0.144722222,435.0569208,
0.0875,148.4480559,,0.164722222,483.3915611,,0.09,436.913912,,0.091111111,375.3226012,,0.144722222,431.239405,
0.088888889,149.4029855,,0.169444444,1.299673584,,0.090833333,440.5992576,,0.091944444,370.6834274,,0.145833333,441.3944817,
