Displ (mm) Run #5,Tensile Force (N) Run #5,Displ (mm) Run #6,Tensile Force (N) Run #6,Displ (mm) Run #7,Tensile Force (N) Run #7,Displ (mm) Run #8,Tensile Force (N) Run #8,Displ (mm) Run #9,Tensile Force (N) Run #9
,,,,5.64,4313.7,,,,
,,,,5.68,4375.33,,,,
,,,,5.72,4329.59,,,,
,,,,5.75,4335.85,,,,
,,,,5.78,4323.09,,,,
,,,,5.8,4273.98,,,,
,,,,5.83,4205.38,,,,
,,,,5.88,4240.04,,,,
,,,,5.92,4320.92,,,,
,,,,5.96,4291.32,,,,
,,,,5.98,4244.38,,,,
,,,,6.02,4320.2,,,,
,,,,6.08,4278.32,,,,
,,,,6.11,4287.71,,,,
,,,,6.14,4231.14,,,,
,,,,6.17,4263.15,,,,
,,,,6.2,4225.84,,,,
,,,,6.24,4190.94,,,,
,,,,6.27,4305.04,,,,
,,,,6.28,4250.15,,,,
,,,,6.33,4218.14,,,,
,,,,6.39,4193.58,,,,
,,,,6.44,4165.66,,,,
,,,,6.47,4141.83,,,,
,,,,6.52,4107.41,,,,
,,,,6.71,9.87,,,,
,,,,6.74,2.65,,,,
,,,,6.75,2.89,,,,
,,,,6.75,2.41,,,,
,,,,6.75,2.89,,,,
,,,,6.75,3.13,,,,
,,,,6.75,3.13,,,,
,,,,6.75,2.89,,,,
,,,,6.75,3.13,,,,
,,,,6.75,3.37,,,,
,,,,6.75,3.37,,,,
,,,,6.75,2.89,,,,
,,,,6.75,3.37,,,,
,,,,6.75,3.37,,,,
,,,,6.75,2.89,,,,
,,,,6.75,3.13,,,,
,,,,6.75,3.37,,,,
,,,,6.75,3.13,,,,
,,,,6.75,2.65,,,,
